hs6,dimension,score,sitc2,sitc2_label
852352,2,1.48550601358068,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
852359,2,0.0584080833961737,89,"89 - Miscellaneous manufactured articles, n.e.s."
852380,2,0.341897665819072,89,"89 - Miscellaneous manufactured articles, n.e.s."
852550,2,0.315127313231882,76,"76 - Telecommunications, sound recording and reproducing equipment"
852560,2,0.544278532339655,76,"76 - Telecommunications, sound recording and reproducing equipment"
852580,2,6.94431049148469,76,"76 - Telecommunications, sound recording and reproducing equipment"
852610,2,0.225101559985093,76,"76 - Telecommunications, sound recording and reproducing equipment"
852691,2,4.17116564899118,76,"76 - Telecommunications, sound recording and reproducing equipment"
852692,2,0.452674826494755,76,"76 - Telecommunications, sound recording and reproducing equipment"
852712,2,0.00688738413957832,76,"76 - Telecommunications, sound recording and reproducing equipment"
852713,2,0.269896431591276,76,"76 - Telecommunications, sound recording and reproducing equipment"
852719,2,0.0889425598206791,76,"76 - Telecommunications, sound recording and reproducing equipment"
852721,2,4.0621232692935,76,"76 - Telecommunications, sound recording and reproducing equipment"
852729,2,0.144993199492272,76,"76 - Telecommunications, sound recording and reproducing equipment"
852791,2,0.827992288022838,76,"76 - Telecommunications, sound recording and reproducing equipment"
852792,2,0.131460550462631,76,"76 - Telecommunications, sound recording and reproducing equipment"
852799,2,0.103310374163659,76,"76 - Telecommunications, sound recording and reproducing equipment"
852841,2,0.199242859365033,75,75 - Office machines and automatic data processing equipment
852849,2,0.0578409811341974,76,"76 - Telecommunications, sound recording and reproducing equipment"
852851,2,3.05801756598913,75,75 - Office machines and automatic data processing equipment
852859,2,2.57379961860201,76,"76 - Telecommunications, sound recording and reproducing equipment"
852861,2,0.0603182777748365,75,75 - Office machines and automatic data processing equipment
852869,2,1.01989223057622,76,"76 - Telecommunications, sound recording and reproducing equipment"
852871,2,2.49736038897787,76,"76 - Telecommunications, sound recording and reproducing equipment"
852872,2,40.1641012224611,76,"76 - Telecommunications, sound recording and reproducing equipment"
852873,2,0.00784430478829989,76,"76 - Telecommunications, sound recording and reproducing equipment"
852910,2,1.50565272616528,76,"76 - Telecommunications, sound recording and reproducing equipment"
852990,2,17.1727579288145,76,"76 - Telecommunications, sound recording and reproducing equipment"
853010,2,0.168292896008705,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853080,2,0.191103236203996,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853090,2,0.33427959810163,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853110,2,0.726466537747196,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853120,2,1.89392340908386,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853180,2,0.335777909066276,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853190,2,0.666001625559951,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853210,2,0.179604773320084,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853221,2,1.18326242669312,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853222,2,0.569887468441238,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853223,2,0.077372890150042,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853224,2,0.904909762464755,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853225,2,0.904475297523954,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853229,2,0.293483706821065,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853230,2,0.0453833806793441,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853290,2,0.0406763443538381,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853310,2,0.0889687604358342,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853321,2,0.668971797428452,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853329,2,0.265641934684083,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853331,2,0.0239470198272982,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853339,2,0.0250100967815395,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853340,2,1.38778554498774,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853390,2,0.106054366125206,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853400,2,3.29663027264547,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853510,2,0.10952921994352,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853521,2,0.301526208025834,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853529,2,0.106439352726774,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853530,2,0.281234143355697,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853540,2,0.21997883368697,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853590,2,2.63618718052614,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853610,2,0.494378564072637,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853620,2,3.24262471914513,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853630,2,1.19556415793839,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853641,2,1.56380676707749,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853649,2,1.29063324682426,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853650,2,3.4972073465564,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853661,2,0.184626610151588,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853669,2,3.32381638820384,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853670,2,0.167297875506313,89,"89 - Miscellaneous manufactured articles, n.e.s."
853690,2,7.86936565904762,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853710,2,9.22693280481644,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853720,2,2.69408755278925,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853810,2,1.57288827574715,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853890,2,8.7432868353126,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853910,2,0.486112074227266,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853921,2,1.66893371995892,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853922,2,0.590930728061771,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853929,2,0.552601685824451,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853931,2,1.71530188631315,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853932,2,0.745130353792083,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853939,2,0.193566474173828,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853941,2,0.0973230328153685,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853949,2,0.180960901613212,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
853990,2,0.951076358111958,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
854011,2,0.00764248793859367,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
